user_id,event_time,event_name,device_type,traffic_source,product_category,price,funnel_success
1,2026-01-01 06:30:57,visit,Mobile,Referral,Fashion,1412,No
1,2026-01-01 06:31:57,product_view,Mobile,Referral,Fashion,1412,No
2,2026-01-05 22:16:16,visit,Mobile,Social Media,Electronics,4967,No
2,2026-01-05 22:18:16,product_view,Mobile,Social Media,Electronics,4967,No
2,2026-01-05 22:23:16,add_to_cart,Mobile,Social Media,Electronics,4967,No
2,2026-01-05 22:25:16,checkout,Mobile,Social Media,Electronics,4967,No
3,2026-01-02 19:46:09,visit,Desktop,Ads,Beauty,4964,No
3,2026-01-02 19:47:09,product_view,Desktop,Ads,Beauty,4964,No
4,2026-01-06 01:01:30,visit,Desktop,Referral,Home,1807,Yes
4,2026-01-06 01:04:30,product_view,Desktop,Referral,Home,1807,Yes
4,2026-01-06 01:08:30,add_to_cart,Desktop,Referral,Home,1807,Yes
4,2026-01-06 01:11:30,checkout,Desktop,Referral,Home,1807,Yes
4,2026-01-06 01:12:30,payment_success,Desktop,Referral,Home,1807,Yes
5,2026-01-10 05:10:31,visit,Mobile,Social Media,Electronics,4263,No
5,2026-01-10 05:15:31,product_view,Mobile,Social Media,Electronics,4263,No
6,2026-01-05 14:19:34,visit,Mobile,Organic,Electronics,3462,No
6,2026-01-05 14:22:34,product_view,Mobile,Organic,Electronics,3462,No
7,2026-01-10 00:24:14,visit,Mobile,Social Media,Home,2407,No
7,2026-01-10 00:27:14,product_view,Mobile,Social Media,Home,2407,No
7,2026-01-10 00:30:14,add_to_cart,Mobile,Social Media,Home,2407,No
7,2026-01-10 00:33:14,checkout,Mobile,Social Media,Home,2407,No
8,2026-01-11 09:57:44,visit,Mobile,Ads,Fashion,1084,No
8,2026-01-11 10:00:44,product_view,Mobile,Ads,Fashion,1084,No
9,2026-01-01 20:15:13,visit,Desktop,Organic,Fashion,2299,No
10,2026-01-08 08:30:18,visit,Desktop,Referral,Electronics,3084,No
10,2026-01-08 08:35:18,product_view,Desktop,Referral,Electronics,3084,No
11,2026-01-05 23:15:25,visit,Mobile,Social Media,Beauty,3077,No
12,2026-01-04 21:36:37,visit,Mobile,Referral,Fashion,4258,Yes
12,2026-01-04 21:41:37,product_view,Mobile,Referral,Fashion,4258,Yes
12,2026-01-04 21:46:37,add_to_cart,Mobile,Referral,Fashion,4258,Yes
12,2026-01-04 21:51:37,checkout,Mobile,Referral,Fashion,4258,Yes
12,2026-01-04 21:52:37,payment_success,Mobile,Referral,Fashion,4258,Yes
13,2026-01-05 19:42:18,visit,Desktop,Organic,Electronics,1633,No
14,2026-01-02 12:29:14,visit,Mobile,Social Media,Sports,1752,No
14,2026-01-02 12:33:14,product_view,Mobile,Social Media,Sports,1752,No
15,2026-01-05 02:15:13,visit,Desktop,Organic,Electronics,4334,No
15,2026-01-05 02:20:13,product_view,Desktop,Organic,Electronics,4334,No
16,2026-01-04 21:20:39,visit,Mobile,Referral,Beauty,3286,No
16,2026-01-04 21:21:39,product_view,Mobile,Referral,Beauty,3286,No
17,2026-01-07 09:09:10,visit,Mobile,Organic,Home,2657,No
18,2026-01-03 01:33:26,visit,Mobile,Ads,Home,4658,No
19,2026-01-10 09:09:27,visit,Mobile,Referral,Beauty,4918,No
19,2026-01-10 09:12:27,product_view,Mobile,Referral,Beauty,4918,No
20,2026-01-02 15:26:34,visit,Mobile,Organic,Fashion,3019,No
21,2026-01-02 03:53:02,visit,Mobile,Social Media,Electronics,1145,No
22,2026-01-04 03:09:18,visit,Mobile,Ads,Beauty,4863,No
23,2026-01-09 19:16:31,visit,Desktop,Social Media,Fashion,1852,No
24,2026-01-09 05:44:58,visit,Desktop,Social Media,Home,2147,Yes
24,2026-01-09 05:49:58,product_view,Desktop,Social Media,Home,2147,Yes
24,2026-01-09 05:51:58,add_to_cart,Desktop,Social Media,Home,2147,Yes
24,2026-01-09 05:54:58,checkout,Desktop,Social Media,Home,2147,Yes
24,2026-01-09 05:57:58,payment_success,Desktop,Social Media,Home,2147,Yes
25,2026-01-11 16:06:32,visit,Mobile,Organic,Electronics,2385,No
26,2026-01-11 05:06:07,visit,Mobile,Organic,Electronics,982,No
27,2026-01-03 13:22:04,visit,Mobile,Referral,Beauty,1080,No
27,2026-01-03 13:24:04,product_view,Mobile,Referral,Beauty,1080,No
28,2026-01-08 13:23:05,visit,Mobile,Social Media,Beauty,4372,No
28,2026-01-08 13:24:05,product_view,Mobile,Social Media,Beauty,4372,No
29,2026-01-07 23:45:03,visit,Desktop,Social Media,Beauty,3402,No
30,2026-01-10 00:19:02,visit,Mobile,Organic,Beauty,943,No
31,2026-01-09 14:51:27,visit,Mobile,Ads,Fashion,1395,Yes
31,2026-01-09 14:53:27,product_view,Mobile,Ads,Fashion,1395,Yes
31,2026-01-09 14:56:27,add_to_cart,Mobile,Ads,Fashion,1395,Yes
31,2026-01-09 14:57:27,checkout,Mobile,Ads,Fashion,1395,Yes
31,2026-01-09 15:00:27,payment_success,Mobile,Ads,Fashion,1395,Yes
32,2026-01-08 15:18:50,visit,Mobile,Organic,Electronics,1302,No
33,2026-01-06 21:29:49,visit,Mobile,Social Media,Beauty,2436,No
33,2026-01-06 21:33:49,product_view,Mobile,Social Media,Beauty,2436,No
34,2026-01-09 19:45:58,visit,Desktop,Organic,Beauty,1848,No
34,2026-01-09 19:49:58,product_view,Desktop,Organic,Beauty,1848,No
